"Context","Source"
"Firmware Class","Generic"
"FirmwareImage","Firmware file missing required key: %1"
"FirmwareUpgrade","%1 can upgrade the firmware on Pixhawk devices and SiK Radios."
"FirmwareUpgrade","Plug in your device"
"FirmwareUpgrade"," via USB to "
"FirmwareUpgrade","start"
"FirmwareUpgrade"," firmware upgrade."
"FirmwareUpgrade","If upgrade failed, make sure to connect "
"FirmwareUpgrade","directly"
"FirmwareUpgrade"," to a powered USB port on your computer, not through a USB hub. "
"FirmwareUpgrade","Also make sure you are only powered via USB "
"FirmwareUpgrade","not battery"
"FirmwareUpgrade"," disconnected "
"FirmwareUpgrade","prior to firmware upgrade."
"FirmwareUpgrade","Please unplug your Pixhawk and/or Radio from USB."
"FirmwareUpgrade","Either firmware list is still downloading, or no firmware is available for current selection."
"FirmwareUpgrade","You must choose a board type."
"FirmwareUpgrade","No firmware was found for the current selection."
"FirmwareUpgrade","Follow the forums actively when using it."
"FixedWingLandingComplexItem","Fixed Wing Landing"
"FlightModeIndicator","N/A"
"FlightModeIndicator","Some Modes Hidden"
"FlightModeIndicator","Edit Displayed Flight Modes"
"FlightModeIndicator","Flight Modes"
"FlightModeIndicator","Configure"
"FlightModeMenuIndicator","N/A"
"FlightModeMenuIndicator","RTL Altitude"
"FlightModeMenuIndicator","Land Descent Rate:"
"FlightModeMenuIndicator","Precision Landing"
"FlyViewAdditionalActionsButton","Actions"
"FlyViewMap","Go to location"
"FlyViewMap","Orbit at location"
"FlyViewMap","ROI at location"
"FlyViewMap","Set home here"
"FlyViewMap","Set Estimator Origin"
"FlyViewMap","Set Heading"
"FlyViewMap","Lat: %1"
"FlyViewMap","Lon: %1"
"FlyViewMap","Edit ROI Position"
"FlyViewMap","Cancel ROI"
"FlyViewMap","Edit Position"
"FlyViewPreFlightChecklistPopup","Pre-Flight Checklist"
"FlyViewSettings","<None>"
"FlyViewSettings","General"
"FlyViewSettings","Use Preflight Checklist"
"FlyViewSettings","Enforce Preflight Checklist"
"FlyViewSettings","Enable Multi-Vehicle Panel"
"FlyViewSettings","Keep Map Centered On Vehicle"
"FlyViewSettings","Show Telemetry Log Replay Status Bar"
"FlyViewSettings","Show simple camera controls (DIGICAM_CONTROL)"
"FlyViewSettings","Update return to home position based on device location."
"FlyViewSettings","Guided Commands"
"FlyViewSettings","Minimum Altitude"
"FlyViewSettings","Maximum Altitude"
"FlyViewSettings","Go To Location Max Distance"
"FlyViewSettings","Loiter Radius in Forward Flight Guided Mode"
"FlyViewSettings","Require Confirmation for Go To Location in Guided Mode"
"FlyViewSettings","MAVLink Actions"
"FlyViewSettings","Action JSON files should be created in the '%1' folder."
"FlyViewSettings","Fly View Actions"
"FlyViewSettings","Joystick Actions"
"FlyViewSettings","Virtual Joystick"
"FlyViewSettings","Enabled"
"FlyViewSettings","Auto-Center Throttle"
"FlyViewSettings","Left-Handed Mode (swap sticks)"
"FlyViewSettings","Instrument Panel"
"FlyViewSettings","Show additional heading indicators on Compass"
"FlyViewSettings","Lock Compass Nose-Up"
"FlyViewSettings","3D View"
"FlyViewSettings","3D Map File:"
"FlyViewSettings","Clear"
"FlyViewSettings","Select File"
"FlyViewSettings","OpenStreetMap files (*.osm)"
"FlyViewSettings","Select map file"
"FlyViewSettings","Average Building Level Height"
"FlyViewSettings","Vehicles Altitude Bias"
"FlyViewToolBar","Disconnect"
"FlyViewToolBar","Downloading"
"FlyViewToolBar","Click anywhere to hide"
"FlyViewToolStripActionList","3D View"
"FlyViewToolStripActionList","Fly"
"FlyViewTopRightPanel","Selected: "
"FlyViewTopRightPanel","Multi Vehicle Selection"
"FlyViewTopRightPanel","Select All"
"FlyViewTopRightPanel","Deselect All"
"FlyViewTopRightPanel","Multi Vehicle Actions"
"FlyViewTopRightPanel","Arm"
"FlyViewTopRightPanel","Disarm"
"FlyViewTopRightPanel","Start"
"FlyViewTopRightPanel","Pause"
"FlyViewVideo","Double-click to exit full screen"
"GCSControlIndicator","GCS "
"GCSControlIndicator"," is requesting control"
"GCSControlIndicator","Allow <br> takeover"
"GCSControlIndicator","Ignoring automatically in "
"GCSControlIndicator"," seconds"
"GCSControlIndicator","Ignore"
"GCSControlIndicator","Reverting back to takeover not allowed if GCS "
"GCSControlIndicator"," doesn't take control in "
"GCSControlIndicator"," seconds ..."
"GCSControlIndicator","System in control: "
"GCSControlIndicator","This GCS"
"GCSControlIndicator","Takeover allowed"
"GCSControlIndicator","Takeover NOT allowed"
"GCSControlIndicator","Send Control Request:"
"GCSControlIndicator","Change takeover condition:"
"GCSControlIndicator","Request sent: "
"GCSControlIndicator","Allow takeover"
"GCSControlIndicator","Adquire Control"
"GCSControlIndicator","Send Request"
"GCSControlIndicator","Request Timeout (sec):"
"GCSControlIndicator","Change"
"GCSControlIndicator","This GCS Mavlink System ID: "
"GPSIndicator","RTK"
"GPSIndicatorPage","N/A"
"GPSIndicatorPage","--.--"
"GPSIndicatorPage","Vehicle GPS Status"
"GPSIndicatorPage","Satellites"
"GPSIndicatorPage","GPS Lock"
"GPSIndicatorPage","HDOP"
"GPSIndicatorPage","VDOP"
"GPSIndicatorPage","Course Over Ground"
"GPSIndicatorPage","RTK GPS Status"
"GPSIndicatorPage","Survey-in Active"
"GPSIndicatorPage","RTK Streaming"
"GPSIndicatorPage","Duration"
"GPSIndicatorPage","Accuracy"
"GPSIndicatorPage","Current Accuracy"
"GPSIndicatorPage","RTK GPS Settings"
"GPSIndicatorPage","AutoConnect"
"GPSIndicatorPage","Survey-In"
"GPSIndicatorPage","Specify position"
"GPSIndicatorPage","Accuracy (u-blox only)"
"GPSIndicatorPage","Min Duration"
"GPSIndicatorPage","Current Base Position"
"GPSIndicatorPage","Save"
"GPSIndicatorPage","Not Yet Valid"
"GeneralSettings","General"
"GeneralSettings","Save application data to SD Card"
"GeneralSettings","<default location>"
"GeneralSettings","Reset Images"
"GeneralSettings","Reset"
"GeoTagController","Empty Filename."
"GeoTagController","Invalid Filename."
"GeoTagController","Invalid Directory."
"GeoTagController","Images have already been tagged. Existing images will be removed."
"GeoTagPage","Used to tag a set of images from a survey mission with gps coordinates. You must provide the binary log from the flight as well as the directory which contains the images to tag."
"GeoTagPage","All Files (*)"
"GeoTagPage","/TAGGED folder in your image folder"
"GeoTagPage","/TAGGED"
"GeoTagWorker","Geotagging failed. Couldn't open image: %1"
"GeoTagWorker","Geotagging failed. Couldn't extract time from image: %1"
"GeoTagWorker","Calibration failed: No triggers or images available."
"GeoTagWorker","Calibration failed: No matching triggers found for images."
"GeoTagWorker","Geotagging failed. Couldn't write to image: %1"
"GimbalIndicator","Gimbal "
"GimbalIndicator","<br> Controls"
"GimbalIndicator","Yaw <br> Follow"
"GimbalIndicator","Yaw <br> Lock"
"GimbalIndicator","Center"
"GimbalIndicator","Tilt 90"
"GimbalIndicator","Point <br> Home"
"GimbalIndicator","Retract"
"GimbalIndicator","Release <br> Control"
"GimbalIndicator","Acquire <br> Control"
"GimbalIndicator","Active <br> Gimbal: "
"GimbalIndicator","Select <br> Gimbal"
"GimbalIndicator","Settings"
"GimbalIndicator","Control type: "
"GimbalIndicator","Horizontal FOV"
"GimbalIndicator","Vertical FOV"
"GimbalIndicator","Max speed:"
"GimbalIndicator","Joystick buttons speed:"
"GimbalIndicator","Show gimbal Azimuth indicator in map"
"GimbalIndicator","Use Azimuth instead of local yaw on top toolbar indicator"
"GimbalIndicator","Show Acquire/Release control button"
"GimbalIndicator","Retracted"
"GimbalIndicator","Yaw locked"
"GimbalIndicator","Yaw follow"
"GimbalIndicator","P: "
"GimbalIndicator","Az: "
"GimbalIndicator","Y: "
"GuidedActionConfirm","Slide or hold spacebar"
"GuidedActionsController","Arm (MV)"
"GuidedActionsController","Disarm (MV)"
"GuidedActionsController","Force Arm"
"GuidedActionsController","Gripper Function"
"GuidedActionsController","Change Loiter Radius"
"GuidedActionsController","Change Max Ground Speed"
"GuidedActionsController","Change Airspeed"
"GuidedActionsController","Set Home"
"GuidedActionsController","Set Estimator origin"
"GuidedActionsController","Set Flight Mode"
"GuidedActionsController","Change Heading"
"GuidedActionsController","Arm selected vehicles."
"GuidedActionsController","WARNING: This will force arming of the vehicle bypassing any safety checks."
"GuidedActionsController","Disarm selected vehicles."
"GuidedActionsController","Grab or Release the cargo"
"GuidedActionsController","Takeoff from ground and start the current mission for selected vehicles."
"GuidedActionsController","Change the forward flight loiter radius."
"GuidedActionsController","Change the maximum horizontal cruise speed."
"GuidedActionsController","Change the equivalent airspeed setpoint."
"GuidedActionsController","Pause selected vehicles at their current position."
"GuidedActionsController","Set vehicle home as the specified location. This will affect Return to Home position"
"GuidedActionsController","Make the specified location the estimator origin."
"GuidedActionsController","Set the vehicle flight mode to %1"
"GuidedActionsController","Set the vehicle heading towards the specified location."
"GuidedActionsController","_activeVehicle(%1) _vehicleArmed(%2) guidedModeSupported(%3) _vehicleFlying(%4) _vehicleWasFlying(%5) _vehicleInRTLMode(%6) pauseVehicleSupported(%7) _vehiclePaused(%8) _flightMode(%9) _missionItemCount(%10) roiSupported(%11) orbitSupported(%12) _missionActive(%13) _hideROI(%14) _hideOrbit(%15)"
"GuidedActionsController","Height (rel)"
"GuidedActionsController","Airspeed"
"GuidedActionsController","Speed"
"GuidedActionsController","Alt (rel)"
"HeightIndicator","30 ft"
"HelpSettings","QGroundControl Discord Channel"
"InstrumentValueEditDialog","Valuec requires a connected vehicle for setup."
"InstrumentValueEditDialog","Telemetry Display"
"InstrumentValueEditDialog","Telemetry"
"InstrumentValueEditDialog","Group"
"InstrumentValueEditDialog","Value"
"InstrumentValueEditDialog","Change"
"InstrumentValueEditDialog","Value range"
"InstrumentValueEditDialog","Type"
"InstrumentValueValue","--.--"
"Joystick","Gimbal Yaw Lock"
"Joystick","Gimbal Yaw Follow"
"Joystick","Gripper Close"
"Joystick","Gripper Open"
"Joystick","Landing gear deploy"
"Joystick","Landing gear retract"
"Joystick","Motor Interlock enable"
"Joystick","Motor Interlock disable"
"JoystickConfig","Button Assignment"
"JoystickConfigButtons"," Multiple buttons that have the same action must be pressed simultaneously to invoke the action."
"JoystickConfigButtons","QGC functions do not support shift actions"
"JoystickConfigButtons","No firmware support"
"JoystickIndicator","Yes"
"JoystickIndicator","No"
"KML","File not found: %1"
"KML","Unable to open file: %1 error: $%2"
"KML","Unable to parse KML file: %1 error: %2 line: %3"
"KML","No supported type found in KML file."
"KML","Unable to find Polygon node in KML"
"KML","Internal error: Unable to find coordinates node in KML"
"KML","Unable to find LineString node in KML"
"KMLOrSHPFileDialog","Select File"
"LandingComplexItem","%1 does not support loading this complex mission item type: %2:%3"
"LandingComplexItem","Fixed Wing Landing Pattern: Setting the loiter and landing altitudes with different settings for altitude relative is no longer supported. Both have been set to relative altitude. Be sure to adjust/check your plan prior to flight."
"LinkInterface","Signing Failure"
"LinkInterface","Signing signature mismatch"
"LinkManager","Bluetooth"
"LinkManager","AirLink"
"LinkSettings","AutoConnect"
"LinkSettings","Pixhawk"
"LinkSettings","SiK Radio"
"LinkSettings","LibrePilot"
"LinkSettings","UDP"
"LinkSettings","Zero-Conf"
"LinkSettings","RTK"
"LinkSettings","NMEA GPS"
"LinkSettings","Device"
